<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20190403;000000;219.0500000
SBER;D;20190404;000000;221.8000000
SBER;D;20190405;000000;227.5000000
SBER;D;20190408;000000;232.3000000
SBER;D;20190409;000000;238.0000000
SBER;D;20190410;000000;243.6800000
SBER;D;20190411;000000;238.8600000
SBER;D;20190412;000000;239.5000000
SBER;D;20190415;000000;237.8000000
SBER;D;20190416;000000;233.2400000
SBER;D;20190417;000000;234.3000000
SBER;D;20190418;000000;232.7900000
SBER;D;20190419;000000;232.6000000
SBER;D;20190422;000000;235.4100000
SBER;D;20190423;000000;235.6700000
SBER;D;20190424;000000;236.0000000
SBER;D;20190425;000000;227.8000000
SBER;D;20190426;000000;223.1800000
SBER;D;20190429;000000;228.8000000
SBER;D;20190430;000000;225.1700000
SBER;D;20190502;000000;229.1000000
SBER;D;20190503;000000;232.5200000
SBER;D;20190506;000000;232.8000000
SBER;D;20190507;000000;231.4900000
SBER;D;20190508;000000;230.0000000
SBER;D;20190510;000000;227.0000000
SBER;D;20190513;000000;224.2200000
SBER;D;20190514;000000;227.8800000
SBER;D;20190515;000000;228.6900000
SBER;D;20190516;000000;228.1900000
SBER;D;20190517;000000;226.9400000
SBER;D;20190520;000000;226.0000000
SBER;D;20190521;000000;232.7100000
SBER;D;20190522;000000;235.8600000
SBER;D;20190523;000000;229.3000000
SBER;D;20190524;000000;234.4500000
SBER;D;20190527;000000;236.0000000
SBER;D;20190528;000000;233.1900000
SBER;D;20190529;000000;233.4000000
SBER;D;20190530;000000;232.7500000
SBER;D;20190531;000000;233.2400000
SBER;D;20190603;000000;239.9500000
SBER;D;20190604;000000;236.0000000
SBER;D;20190605;000000;239.0000000
SBER;D;20190606;000000;244.8900000
SBER;D;20190607;000000;248.2800000
SBER;D;20190610;000000;249.0000000
SBER;D;20190611;000000;235.8900000
SBER;D;20190613;000000;240.4900000
SBER;D;20190614;000000;238.8000000
SBER;D;20190617;000000;237.8000000
SBER;D;20190618;000000;241.8000000
SBER;D;20190619;000000;240.4000000
SBER;D;20190620;000000;244.1000000
SBER;D;20190621;000000;238.0200000
SBER;D;20190624;000000;239.0900000
SBER;D;20190625;000000;236.7000000
SBER;D;20190626;000000;240.5900000
SBER;D;20190627;000000;240.5000000
